Barcode;VendorDescription;VendorSubdepartment;FullProductName;CommonName;Location
5500000329712;AMB CORN ON THE COB;Vegetables;Corn On The Cob;Corn On The Cob;Aisle 1, Left
5500000173650;AMB TURNIP LOOSE;Vegetables;Turnip;Turnip,Turnips;Aisle 1, Left
5019893000856;AMB WATERCRESS PUNNET;Salads;Watercress Punnet;Watercress Punnet,Watercress;Aisle 1, Left
5055552408793;AMB WATERCRESS PUNNET;Salads;Watercress Punnet;Watercress Punnet,Watercress;Aisle 1, Left
5060187680216;B&R MUSHRMS;Produce;Mushrooms;Mushrooms,B&R Mushrooms,Mushroom;Aisle 1, Left
24860;BDGS LOOSE KIWI;Fruit;Kiwi;Kiwi,Kiwi Fruit;Aisle 1, Left
20001940;BLKBRRY;Produce;Blackberries;Blackberries,Blackberry;Aisle 1, Left
64088;BRAMLEY APPLE CLASS 1;Fruit;Apples;Apples,Bramley Apples,Bramley Apple,Cooking apple,cooking apples;Aisle 1, Left
5055552408762;BUD BABY LEAF & RCKT SLD;Prepared Produce;Leaf and Rocket;Leaf and Rocket,Baby Leaf & Rocket Salad;Aisle 1, Left
5055552408823;BUD CEASAR SALAD BOWL;Prepared Produce;Caesar salad;Caesar salad,Caeser Salad Bowl;Aisle 1, Left
5055552408267;BUD FLAT MUSHROOMS;Vegetables;0;0,Mushrooms;Aisle 1, Left
5020379091411;BUD GARDEN SALAD BOWL;Prepared Produce;Garden Salad Bowl;Garden Salad Bowl,Garden Salad,Salad bag;Aisle 1, Left
5055552409653;BUD LIMES PREPACK;Fruit;Lime;Lime,Limes;Aisle 1, Left
20042691;BUD PAKCHOI;Vegetables;Pakchoi;Pakchoi,pak choi;Aisle 1, Left
5055552409660;BUD PP CLEMENTINES;Fruit;Clementine;Clementine,Clementines;Aisle 1, Left
5011233980934;BUD PP COX APPLES     1;Fruit;Budgens;Budgens,Cox Apples;Aisle 1, Left
5055552409646;BUD PP LEMONS;Fruit;Lemon;Lemon,Lemons;Aisle 1, Left
96085691;BUD RASPBERRIES;Fruit;Budgens Raspberries;Budgens Raspberries,Raspberries;Aisle 1, Left
5055552408779;BUD RKT SPNCH WTCRSS SD;Prepared Produce;Rocket Spinach Watercress Salad;Rocket Spinach Watercress Salad,Rocket Spinach & Watercress Salad,Salad;Aisle 1, Left
5055552408809;BUD ROCKET SALAD;Prepared Produce;Rocket Salad;Rocket Salad,Rocket;Aisle 1, Left
5011233999479;BUD ROUND LETTUCE CL1;Salads;Round Lettuce;Round Lettuce;Aisle 1, Left
96093603;BUD STRAWBERRIES;Fruit;Strawberries;Strawberries,Strawberry;Aisle 1, Left
5060187680223;C&L MUSHRMS;Produce;Mushrooms;Mushrooms,C&L Mushrooms,Mushroom;Aisle 1, Left
5391512392673;CF ATHENRY OAT F/J;Health Foods;Flapjacks;Flapjacks,Mini Flapjacks;Aisle 1, Left
5060079650501;CF CHORIZO ORIGINAL;Prepack Cooked Meats;Chorizo;Chorizo,Original Chorizo;Aisle 1, Left
5099809131324;CF SOW CHIA SEEDS;Health Foods;Pecan Nuts;Pecan Nuts,Pecans,Pecan,Vanilla Protein Drink;Aisle 1, Left
5099809131300;CF SOW HAZELNUTS;Health Foods;Hazelnuts;Hazelnuts,Hazlenut,Nuts;Aisle 1, Left
5099809130969;CF SOW WALNUTS;Health Foods;Walnuts;Walnuts,Walnut,Nuts;Aisle 1, Left
5099809130747;CF SOWAN'S G/F QUINOA;Grocery - Edible;Sowans Quinoa;Sowans Quinoa,Quinoa;Aisle 1, Left
5099809130761;CF SOWAN'S GF BROWN RICE;Grocery - Edible;Sowan's Brown Rice;Sowan's Brown Rice,Brown Rice,Rice;Aisle 1, Left
5099809130785;CF SOWAN'S GF BUCKWHEAT;Grocery - Edible;Sowan's Buckwheat;Sowan's Buckwheat,Buckwheat;Aisle 1, Left
5060079650518;CF SPICY CHORIZO;Prepack Cooked Meats;Spicy Chorizo;Spicy Chorizo,Chorizo;Aisle 1, Left
5060338036329;CLF ALFALFA SEEDS;Health Foods;Just Natural Alfalfa;Just Natural Alfalfa,Organic Alfalfa Seeds,Alfalfa Seeds;Aisle 1, Left
9335805000049;CLF BOUNCE BALL CASHEW PECAN;Health Foods;Bounce Balls ;Bounce Balls,Bounce Ball,Cashew & Pecan Balls;Aisle 1, Left
5016887003817;CLF FLAX CHIA APPL&CINNAMON;Health Foods;Milled Flaxseed, Chia, Apple & Cinnamon;Milled Flaxseed, Chia, Apple & Cinnamon,Organic Seed mix,Seed Mix,Seeds;Aisle 1, Left
5016887004036;CLF FLAX NUTS&Q10;Health Foods;Milled Organic Flaxseed Almond Brazil Nut Walnut & Co-Enzyme;Milled Organic Flaxseed Almond Brazil Nut Walnut & Co-Enzyme,Organic Nut mix,Nut Mix,Nuts;Aisle 1, Left
5391504832736;CLF HEART UP ORIGINAL;Health Foods;True life;True life,Heart Up,Barley;Aisle 1, Left
5060338033250;CLF JUST NASTURAL LINSEED;Health Foods;Just Natural Golden Linseed;Just Natural Golden Linseed,Organic Golden Linseed,Linseed,Golden Linseed;Aisle 1, Left
5016887003503;CLF LINWOODS FLAXSEED;Health Foods;Linwoods Flaxseed;Linwoods Flaxseed,Organic Flaxseed,Flaxseed,Milled Flaxseed;Aisle 1, Left
5016887003046;CLF LINWOODS FLAXSEED GOJI;Health Foods;Linwoods Flaxseed Goji Berries;Linwoods Flaxseed Goji Berries,Goji Berries Flaxseed,Milled Flaxseed Goji Berries,Linwoods Milled Flaxseed & Goji Berries;Aisle 1, Left
5016887003060;CLF LINWOODS FLAXSEED PUMPKIN;Health Foods;Linwoods Seed Berry Mix;Linwoods Seed Berry Mix,Goji Berries Seeds,Seed Mix;Aisle 1, Left
5016887003053;CLF LINWOODS FLAXSEED SUNFLOWE;Health Foods;Linwoods Seed Mix;Linwoods Seed Mix,Flaxseed Sunflower Pumpkin Seeds,Seed Mix;Aisle 1, Left
5016887003077;CLF LINWOODS FLAXSEED SUNFLOWE;Grocery - Edible;Flaxseed Sunflower;Flaxseed Sunflower,Linwoods Flaxseed Sunflower;Aisle 1, Left
5060088702482;CLF MAKD BANA CRUNCH;DUMP;Health Snacks;Health Snacks,Nakd,Nakd Banana Crunch,banana crunch,banana crunch bar;Aisle 1, Left
5016887003640;CLF MILLED FLAXSEED&GOJI BERR;Health Foods;Milled Flaxseed & Goji berries;Milled Flaxseed & Goji berries,flaxseed Goji Berries,Berry Seed Mix,Seed Mix;Aisle 1, Left
5016887003657;CLF MILLED ORG F/SEED&PUMPKIN;Health Foods;Organic Flaxseed Sunflower & Pumpkin;Organic Flaxseed Sunflower & Pumpkin,Organic Seed Mix,Seed Mix,Seeds;Aisle 1, Left
5016887003893;CLF MILLED ORG FLAXSEDD;Health Foods;Milled Organic Flaxseed;Milled Organic Flaxseed,Organic Flaxseed,Flaxseed;Aisle 1, Left
5060338033861;CLF OMEGA 3 SEED MIX;Health Foods;Just Natural Seed MIx;Just Natural Seed MIx,Organic Omega 3 Seed Mix,Omega 3 Seed Mix,Seed Mix;Aisle 1, Left
5060338032857;CLF ORG ADUKI BEANS;Health Foods;Just Natural Aduki Beans;Just Natural Aduki Beans,Organic Aduki Beans,Aduki Beans;Aisle 1, Left
5500000163910;CLF ORG ADUKI BEANS;Health Foods;Aduki Beans;Aduki Beans;Aisle 1, Left
5060338039580;CLF ORG AMARANTH GRAIN;Health Foods;Just Natural Amaranth Grain;Just Natural Amaranth Grain,Organic Amaranth Grain,Amaranth Grain;Aisle 1, Left
5060338039504;CLF ORG BLACK RICE;Health Foods;Just Natural Black Rice;Just Natural Black Rice,Organic Black Rice,Black rice,Rice;Aisle 1, Left
5060338032963;CLF ORG BLK TURTLE BEANS;Health Foods;Just Natural Black Turtle Beans;Just Natural Black Turtle Beans,Organic Black Turtle Beans,Turtle beans;Aisle 1, Left
5060338033038;CLF ORG BROWN LENTILS;Health Foods;Just Natural Brown Lentils;Just Natural Brown Lentils,Organic Brown Lentils,Lentils,Brown Lentils;Aisle 1, Left
5060338033045;CLF ORG BROWN LINSEED;Health Foods;Just Natural Brown Linseed;Just Natural Brown Linseed,Organic Brown Linseed,Linseed,Brown Linseed;Aisle 1, Left
5060338033083;CLF ORG BULGAR WHEAT;Health Foods;Just Natural Bulgar Wheat;Just Natural Bulgar Wheat,Organic Bulgar Wheat,Bulgar wheat;Aisle 1, Left
5060338036336;CLF ORG CHIA SEEDS;Health Foods;Just Natural Chia Seeds;Just Natural Chia Seeds,Organic Chia Seeds,Chia Seeds,Chia;Aisle 1, Left
5060338033120;CLF ORG CHICKPEAS;Health Foods;Just Natural Chick Peas;Just Natural Chick Peas,Organic Chick Peas,Chick peas;Aisle 1, Left
5060338033588;CLF ORG DUPUY LENTILS;Health Foods;Just Natural Puy Lentils;Just Natural Puy Lentils,Organic Puy Lentils,Puy Lentils,Lentils;Aisle 1, Left
5060338036237;CLF ORG GMO FREE SOYA MINCE;Health Foods;Just Natural Soya MInce;Just Natural Soya MInce,Organic Soya Mince,Soya Mince;Aisle 1, Left
5060338033274;CLF ORG GREEN LENTILS;Health Foods;Just Natural Green Lentils;Just Natural Green Lentils,Organic Green Lentils,Green lentils,Lentils;Aisle 1, Left
5060338033281;CLF ORG GREEN SPLIT PEAS;Health Foods;Just Natural Green Split Peas;Just Natural Green Split Peas,Organic Green Split Peas,Split peas,Green Split Peas;Aisle 1, Left
5060338036244;CLF ORG MUNG BEANS;Health Foods;Just Natural Mung Beans;Just Natural Mung Beans,Organic Mung Beans,Mung Beans;Aisle 1, Left
5060338033434;CLF ORG OATMEAL MEDIUM;Health Foods;Just Natural Oatmeal;Just Natural Oatmeal,Organic Oatmeal,Mung Beans;Aisle 1, Left
5060338033854;CLF ORG OMEGA 3 SEED MIX;Health Foods;Just Natural Omega 3 Seed MIx;Just Natural Omega 3 Seed MIx,Organic Omega 3 Seed Mix,Omega 3 Seed Mix,Seed Mix;Aisle 1, Left
5060338038279;CLF ORG PINE NUTS;Grocery - Edible;Organic Pine Nuts;Organic Pine Nuts,Just Natural Pine nuts,Pine Nuts;Aisle 1, Left
5060338039481;CLF ORG PINTO BEANS;Health Foods;Just Natural Pinto Beans;Just Natural Pinto Beans,Organic Pinto Beans,Pinto Beans;Aisle 1, Left
5060338033571;CLF ORG PUMPKIN SEEDS;Health Foods;Just Natural Pumpkin Seeds;Just Natural Pumpkin Seeds,Organic Pumpkin Seeds,Pumpkin Seeds;Aisle 1, Left
5060338038231;CLF ORG QUINOA GRAIN;Health Foods;Just Natural Quinoa;Just Natural Quinoa,Organic Quinoa Grain,Quinoa Grain,Quinoa;Aisle 1, Left
5060338039290;CLF ORG RED QUINOA GRAIN;Health Foods;Just Natural Red Quinoa;Just Natural Red Quinoa,Organic Red Quinoa,Quinoa,Red Quinoa;Aisle 1, Left
5060338033663;CLF ORG RED SPLIT LENTILS;Health Foods;Just Natural Red Lentils;Just Natural Red Lentils,Organic Red Lentils,Red lentils,Lentils;Aisle 1, Left
5500000238137;CLF ORG RED SPLIT LENTILS;Health Foods;Organic Red Split Lentils;Organic Red Split Lentils,Red Split Lentils;Aisle 1, Left
5060338033779;CLF ORG SOYA BEANS;Health Foods;Just Natural Organic Soya Beans;Just Natural Organic Soya Beans,Organic Soya Beans,Soya Beans;Aisle 1, Left
5060338032390;CLF ORG SUNFLOWER SE;DUMP;just natural sunflower seeds;just natural sunflower seeds,sunflower seeds;Aisle 1, Left
5060338033823;CLF ORG SUNFLOWER SEEDS;Health Foods;Just Natural Sunflower Seeds;Just Natural Sunflower Seeds,Organic Sunflower Seeds,Sunflower Seeds;Aisle 1, Left
5060338033892;CLF ORG UNRSTD BUCKWHEAT;Health Foods;Just Natural Unroasted Buckwheat;Just Natural Unroasted Buckwheat,Organic Unroasted Buckwheat,Unroasted Buckwheat,Buckwheat;Aisle 1, Left
5060338034004;CLF ORG WHEAT GRAIN;Health Foods;Just Natural Wheat grain;Just Natural Wheat grain,Organic Wheat Grain,Wheat Grain;Aisle 1, Left
5060338033168;CLF ORG WHML COUS COUS;Health Foods;Just Natural Cous Cous;Just Natural Cous Cous,Organic Cous Cous,Cous Cous,Wholemeal Cous Cous;Aisle 1, Left
5060338038842;CLF ORG WILD RICE;Health Foods;Just Natural Wild Rice;Just Natural Wild Rice,Organic Wild Rice,Wild Rice;Aisle 1, Left
5500000154086;CLF ORG WILD RICE;Health Foods;Wild Rice;Wild Rice,Organic Wild Rice;Aisle 1, Left
5060338033151;CLF ORGANIC COUS COUS;Health Foods;Just Natural Cous Cous;Just Natural Cous Cous,Organic Cous Cous,Cous cous;Aisle 1, Left
5060338033977;CLF ORGANIC WHEAT FLAKES;Health Foods;Just Natural Wheatflakes;Just Natural Wheatflakes,Organic Wheat Flakes,Wheat Flakes;Aisle 1, Left
788434110327;CLF PEANUT BUTTER SU;DUMP;Peanut Butter Bar;Peanut Butter Bar,Victory Peanut Butter Chip Bar,Peanut Butter bar;Aisle 1, Left
788434110327;CLF PEANUT BUTTER SU;DUMP;Peanut Butter Bar;Peanut Butter Bar,Victory Peanut Butter Chip Bar,Peanut Butter bar;Aisle 1, Left
5060338033762;CLF SHORT GRAIN BROWN RICE;Health Foods;Just Natural Rice;Just Natural Rice,Organic Rice,Rice,Brown rice;Aisle 1, Left
5060338039382;CLF WHITE JASMINE RICE;Health Foods;Just Natural Jasmine Rice;Just Natural Jasmine Rice,Organic White Jasmine Rice,Jasmine Rice;Aisle 1, Left
5020379116282;CNFREC PEARS;Produce;Conference Pears;Conference Pears,Pears;Aisle 1, Left
64156;CONFERENCE PEARS CL1;Fruit;Pears;Pears,Conference Pears,Pear;Aisle 1, Left
69342;COURGETTES CL1;Vegetables;Courgettes;Courgettes,Courgette;Aisle 1, Left
5060061216852;DEL MONTE APL FRUIT BAG;Prepared Produce;Apple Bag;Apple Bag,Fruit bag;Aisle 1, Left
5060061216869;DEL MONTE APL&GRPE BAG;Prepared Produce;Apple & Grape Bag;Apple & Grape Bag,Apple Grape Bag,Fruit bag;Aisle 1, Left
5052450001750;DEL MONTE WTRMLN FANS;Prepared Produce;Watermelon;Watermelon,Watermelon Fans;Aisle 1, Left
5052450001750;DEL MONTE WTRMLN FANS;Prepared Produce;Watermelon;Watermelon,Watermelon Fans;Aisle 1, Left
5500000020596;DELISTED LINES;Fruit;Fruit;Fruit;Aisle 1, Left
5011766666633;DFRM ORG G/F BRWN RCE PNE;Health Foods;Rice Penne;Rice Penne,Brown Rice Penne;Aisle 1, Left
20596;EXTRA LARGE ORANGES;Fruit;Oranges;Oranges,Large Oranges,Orange;Aisle 1, Left
5020379115551;Farm Fresh Peppers PP;Salads;Peppers;Peppers;Aisle 1, Left
5020379115339;FARM FRESH WATERMELON;Fruit;Watermelon;Watermelon;Aisle 1, Left
22262;FENNEL;Vegetables;Fennel;Fennel,Loose Fennel;Aisle 1, Left
5020379110273;FF APRICOT PUNNET;Fruit;Apricots;Apricots,Apricot Punnet,Apricots;Aisle 1, Left
5010397007624;FF ASPARAGUS;Prepared Produce;Asparagus;Asparagus;Aisle 1, Left
5020379077200;FF ASPARAGUS;Prepared Produce;Asparagus;Asparagus;Aisle 1, Left
5010397002148;FF ASPARAGUS TIPS;Prepared Produce;Asparagus;Asparagus,Asparagus tips;Aisle 1, Left
9072;FF AUBERGINES;Vegetables;Aubergine;Aubergine,Aubergines;Aisle 1, Left
5020379092173;FF AUBERGINES;Vegetables;Aubergines;Aubergines,Aubergine;Aisle 1, Left
5010397002803;FF AVOCADO;Fruit;Avocados;Avocados,Avocado;Aisle 1, Left
5500000001090;FF AVOCADO;Fruit;Avocados;Avocados,Farm Fresh Avocado,Avocado,Avocados;Aisle 1, Left
5010397002780;FF AVOCADO 2PCE;Fruit;Avocados;Avocados,Avocado,Avocado 2 pack;Aisle 1, Left
